structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Subgeniculate nucleus,0.0,0.0,0.0,0.015298,0.007126,0.022424,0.0,0.0
Suprageniculate nucleus,0.0,0.0,0.0,0.081799,0.09613300000000001,0.17793199999999998,0.0,0.0
"Basomedial amygdalar nucleus, anterior part",0.0,0.0,0.0,0.276251,0.372963,0.6492140000000001,0.0,0.0
"Retrosplenial area, dorsal part, layer 6b",0.0,0.0,0.0,0.020361,0.024451,0.044812000000000005,0.0,0.0
Accessory supraoptic group,0.0,0.0,0.0,0.005551,0.004283,0.009834,0.0,0.0
Septohippocampal nucleus,0.0,0.0,0.0,0.017252999999999998,0.019563,0.036816,0.0,0.0
"Basomedial amygdalar nucleus, posterior part",0.0,0.0,0.0,0.305975,0.324221,0.630196,0.0,0.0
"Perirhinal area, layer 6a",0.0,0.0,0.0,0.018137,0.02001,0.038147,0.0,0.0
superior colliculus commissure,0.0,0.0,0.0,0.013330000000000002,0.014163999999999998,0.027494,0.0,0.0
Subfornical organ,0.0,0.0,0.0,0.015086,0.016253,0.031339,0.0,0.0
Substantia innominata,0.0,0.0,0.0,0.7902399999999999,1.644939,2.435179,0.0,0.0
"Agranular insular area, posterior part, layer 5",0.0,0.0,0.0,0.323198,0.31422100000000003,0.637419,0.0,0.0
Subparaventricular zone,0.0,0.0,0.0,0.094168,0.096093,0.19026099999999999,0.0,0.0
supraoptic commissures,0.0,0.0,0.0,0.016065,0.011662,0.027727,0.0,0.0
Bed nuclei of the stria terminalis,0.0,0.0,0.0,0.358736,0.618903,0.977639,0.0,0.0
"Agranular insular area, posterior part, layer 6b",0.0,0.0,0.0,0.004889999999999999,0.006293,0.011182999999999998,0.0,0.0
Preparasubthalamic nucleus,0.0,0.0,0.0,0.009002,0.006144999999999999,0.015147,0.0,0.0
Mediodorsal nucleus of thalamus,0.0,0.0,0.0,0.867257,0.8207110000000001,1.6879680000000001,0.0,0.0
"Prelimbic area, layer 5",0.0,0.0,0.0,0.24405700000000002,0.424728,0.6687850000000001,0.0,0.0
Parasubthalamic nucleus,0.0,0.0,0.0,0.096246,0.08741499999999999,0.183661,0.0,0.0
Submedial nucleus of the thalamus,0.0,0.0,0.0,0.178911,0.166994,0.345905,0.0,0.0
"Perirhinal area, layer 6b",0.0,0.0,0.0,0.003954999999999999,0.004561,0.008516,0.0,0.0
Infracerebellar nucleus,0.0,0.0,0.0,0.035646,0.037873000000000004,0.073519,0.0,0.0
"Substantia nigra, compact part",0.0,0.0,0.0,0.111472,0.091752,0.203224,0.0,0.0
"Posterolateral visual area, layer 6a",0.0,0.0,0.0,0.035601999999999995,0.04012,0.075722,0.0,0.0
cuneate fascicle,0.0,0.0,0.0,0.014924000000000002,0.01239,0.027314,0.0,0.0
"Substantia nigra, reticular part",0.0,0.0,0.0,0.780122,0.5573089999999999,1.337431,0.0,0.0
Supraoptic nucleus,0.0,0.0,0.0,0.02021,0.022857,0.043067,0.0,0.0
"Posterolateral visual area, layer 6b",0.0,0.0,0.0,0.003093,0.003697,0.006789999999999999,0.0,0.0
ventral tegmental decussation,0.0,0.0,0.0,0.01889,0.018713,0.037603,0.0,0.0
"Orbital area, lateral part, layer 2/3",0.0,0.0,0.0,0.220942,0.257855,0.478797,0.0,0.0
vestibular nerve,0.0,0.0,0.0,0.100603,0.082634,0.183237,0.0,0.0
"Subparafascicular nucleus, magnocellular part",0.0,0.0,0.0,0.037655,0.031917,0.06957200000000001,0.0,0.0
"Lateral visual area, layer 1",0.0,0.0,0.0,0.102457,0.092152,0.194609,0.0,0.0
"Subparafascicular nucleus, parvicellular part",0.0,0.0,0.0,0.09246900000000001,0.088061,0.18053,0.0,0.0
